user_id,age_range,gender
376517,6,1
234512,5,0
344532,5,0
186135,5,0
30230,5,0
272389,6,1
281071,4,0
139859,7,0
198411,5,1
67037,4,1
149002,5,2
7468,4,0
94292,4,0
347414,6,1
191719,4,0
391524,5,1
153790,6,0
349112,3,1
344766,6,0
81816,5,0
307304,5,0
78617,4,1
234232,5,0
57005,4,1
284893,6,1
366342,4,0
256174,4,1
208701,5,0
171799,0,1
288275,5,1
100091,4,0
280782,6,0
77031,5,0
422265,4,0
184971,4,0
240148,5,0
389154,4,0
14831,5,1
19637,4,0
282200,6,0
214880,5,0
123576,7,0
116591,4,2
242442,5,0
317850,6,1
329529,4,0
124798,6,1
182794,6,2
233423,4,0
177722,4,1
142152,5,0
383799,6,1
336241,3,0
170951,5,0
96714,3,1
97984,5,2
255390,6,1
405096,5,0
146079,3,1
283056,6,0
142464,5,1
124826,6,0
298104,5,0
204125,4,0
292759,5,1
64706,4,0
190674,3,0
376798,5,0
113740,5,1
96077,4,1
232237,6,0
126059,5,0
15868,5,2
334998,4,0
402681,4,1
183107,5,0
51428,4,1
115811,4,0
29495,6,0
402908,4,0
311133,5,0
382472,5,0
118041,5,0
326190,5,0
396129,4,0
396296,4,0
343130,5,0
231901,5,1
145231,4,1
339676,4,1
349902,4,1
83378,4,0
234546,5,0
210830,5,1
310632,4,2
39031,4,0
173444,6,0
241618,5,0
234795,4,0
389255,5,0
259082,5,1
372949,4,1
204505,6,1
32350,0,1
325202,5,0
296760,6,1
248997,4,0
348053,5,1
367180,5,1
311158,5,1
194460,5,0
402907,5,0
70266,5,0
139323,5,0
114988,4,1
357960,4,1
87008,3,0
145834,4,0
98730,4,0
294091,4,1
244506,5,1
358360,5,0
190700,4,1
252784,4,1
405,5,0
247495,6,0
328951,4,0
398807,4,1
308386,5,1
138776,6,1
15361,4,0
379406,4,1
210917,0,1
108376,6,1
137278,4,0
188803,5,0
118138,6,0
241795,5,0
254340,4,1
72428,6,0
264131,6,1
50719,4,0
270163,6,1
186109,6,0
38665,0,1
224594,5,0
115159,0,1
241481,5,0
289429,6,0
289152,4,1
309618,5,1
239417,5,0
124930,6,0
58749,6,1
172130,4,1
337265,5,1
14259,5,1
395220,4,1
289522,5,0
277645,4,1
391314,5,0
112301,6,0
325941,6,1
379148,4,0
145936,6,1
143038,6,1
297999,4,0
418872,5,0
28422,4,0
2876,6,1
316188,3,0
165673,5,1
367625,5,1
328458,6,1
400454,3,0
58225,6,1
295093,4,1
21505,5,1
277321,6,1
219576,4,0
194356,4,1
242539,4,0
327314,5,0
20673,4,1
360091,4,0
98880,5,1
258867,5,0
139,5,1
320531,4,1
136246,4,1
112092,4,2
404960,4,1
139449,4,0
419829,7,1
111392,4,1
293483,5,0
257355,4,0
94031,5,1
26054,5,0
416713,4,0
251817,5,0
137795,4,0
358225,4,1
48495,5,0
181489,4,2
414778,5,1
